pp,video,bin_idx,t_start,t_end
8,3,13,26.0,28.0
9,6,9,18.0,20.0
31,6,43,86.0,88.0
45,1,43,86.0,88.0
45,1,44,88.0,90.0
45,2,44,88.0,90.0
45,3,33,66.0,68.0
45,3,34,68.0,70.0
45,6,31,62.0,64.0
45,7,29,58.0,60.0
45,7,30,60.0,62.0
45,7,31,62.0,64.0
45,7,32,64.0,66.0
45,7,39,78.0,80.0
45,7,40,80.0,82.0
45,7,41,82.0,84.0
45,7,42,84.0,86.0
45,7,43,86.0,88.0
45,7,44,88.0,90.0
53,2,0,0.0,2.0
53,2,42,84.0,86.0
53,2,44,88.0,90.0
53,3,34,68.0,70.0
53,3,35,70.0,72.0
53,3,36,72.0,74.0
53,3,37,74.0,76.0
53,3,38,76.0,78.0
53,3,39,78.0,80.0
53,3,40,80.0,82.0
53,3,41,82.0,84.0
53,3,42,84.0,86.0
53,7,21,42.0,44.0
53,7,42,84.0,86.0
53,7,43,86.0,88.0
55,3,38,76.0,78.0
59,1,44,88.0,90.0
60,2,29,58.0,60.0
60,2,39,78.0,80.0
60,6,32,64.0,66.0
62,4,25,50.0,52.0
68,7,11,22.0,24.0
81,4,19,38.0,40.0
83,6,29,58.0,60.0
83,6,30,60.0,62.0
83,6,31,62.0,64.0
83,6,32,64.0,66.0
90,1,44,88.0,90.0
92,7,41,82.0,84.0
