pp,video,dial,t_begin_s,t_mid_s,t_end_s,duration_s,x_fix,y_fix
1,1,2,0.26725,0.513,0.75875,0.4915,1008.35,244.0
1,1,4,0.808,0.9005,0.993,0.185,453.3,1029.2
1,1,5,1.04,1.1355,1.231,0.191,978.05,858.75
1,1,2,1.27675,1.4075,1.53825,0.2615,1013.0,269.4
1,1,3,1.584,1.6405,1.697,0.113,1579.05,200.0
1,1,5,1.738,1.7895,1.841,0.103,952.5,909.25
1,1,5,1.853,1.9145,1.976,0.123,954.05,848.25
1,1,4,2.01225,2.0645,2.11675,0.1045,343.7,942.2
1,1,2,2.1715,2.258,2.3445,0.173,931.95,151.15
1,1,2,2.35975,2.4595,2.55925,0.1995,997.1,202.15
1,1,5,2.61725,2.6555,2.69375,0.0765,839.3,793.85
1,1,5,2.71075,2.8065,2.90225,0.1915,953.0,844.4
1,1,2,2.9395,3.2545,3.5695,0.63,1041.5,248.4
1,1,5,3.60475,3.664,3.72325,0.1185,980.05,869.3
1,1,5,3.734,3.7625,3.791,0.057,947.45,833.85
1,1,5,3.80475,3.90238,4.0,0.19525,907.5,776.4
1,1,5,4.0,4.30912,4.61825,0.61825,907.5,776.4
1,1,1,4.6645,4.743,4.8215,0.157,390.85,318.25
1,1,2,4.92075,5.039,5.15725,0.2365,1012.7,231.15
1,1,2,5.1685,5.58425,6.0,0.8315,1006.1,272.75
1,1,2,6.0,6.02075,6.0415,0.0415,1006.1,272.75
1,1,2,6.0525,6.1065,6.1605,0.108,1066.5,254.4
1,1,3,6.194,6.3225,6.451,0.257,1525.55,191.6
1,1,6,6.492,6.5515,6.611,0.119,1581.4,908.35
1,1,5,6.65375,6.779,6.90425,0.2505,988.2,890.75
1,1,5,6.91575,6.9685,7.02125,0.1055,937.85,872.4
1,1,4,7.05925,7.152,7.24475,0.1855,309.95,935.7
1,1,6,7.30125,7.382,7.46275,0.1615,1493.55,899.3
1,1,4,7.517,7.629,7.741,0.224,302.25,964.4
1,1,6,7.80625,7.90313,8.0,0.19375,1556.0,904.8
1,1,6,8.0,8.03187,8.06375,0.06375,1556.0,904.8
1,1,2,8.30625,8.363,8.41975,0.1135,958.2,306.8
1,1,2,8.43425,8.5525,8.67075,0.2365,1007.9,263.3
1,1,2,8.6815,8.8565,9.0315,0.35,1048.3,286.2
1,1,5,9.06975,9.1135,9.15725,0.0875,980.7,896.6
1,1,5,9.17075,9.2245,9.27825,0.1075,945.55,833.1
1,1,5,9.2925,9.529,9.7655,0.473,894.95,772.95
1,1,6,9.818,9.909,10.0,0.182,1549.2,934.3
1,1,6,10.0,10.025,10.05,0.05,1549.2,934.3
1,1,5,10.0805,10.2755,10.4705,0.39,985.35,745.5
1,1,2,10.5115,10.616,10.7205,0.209,977.5,209.8
1,1,2,10.736,10.98,11.224,0.488,1041.8,300.25
1,1,5,11.259,11.333,11.407,0.148,1020.9,829.0
1,1,5,11.4195,11.499,11.5785,0.159,973.1,803.1
1,1,6,11.6205,11.81025,12.0,0.3795,1614.0,967.8
1,1,6,12.0,12.06075,12.1215,0.1215,1614.0,967.8
1,1,3,12.1775,12.2615,12.3455,0.168,1635.15,202.65
1,1,3,12.35975,12.4115,12.46325,0.1035,1555.8,188.4
1,1,2,12.494,12.619,12.744,0.25,964.2,196.7
1,1,4,12.79775,12.8745,12.95125,0.1535,281.9,994.95
1,1,4,12.96175,13.1365,13.31125,0.3495,338.5,986.8
1,1,5,13.35125,13.4725,13.59375,0.2425,970.55,840.7
1,1,2,13.63825,13.722,13.80575,0.1675,1016.65,323.85
1,1,2,13.81675,13.90837,14.0,0.18325,1049.6,308.6
1,1,2,14.0,14.04812,14.09625,0.09625,1049.6,308.6
1,1,5,14.1355,14.1955,14.2555,0.12,1032.3,870.2
1,1,5,14.26975,14.3645,14.45925,0.1895,967.9,808.3
1,1,5,14.47225,14.8645,15.25675,0.7845,904.6,784.8
1,1,4,15.30375,15.376,15.44825,0.1445,370.3,938.45
1,1,6,15.5095,15.6575,15.8055,0.296,1660.1,985.2
1,1,2,15.942,15.971,16.0,0.058,1020.7,242.1
1,1,2,16.0,16.0985,16.197,0.197,1020.7,242.1
1,1,2,16.209,16.4835,16.758,0.549,1042.6,288.6
1,1,1,16.80825,16.869,16.92975,0.1215,366.9,193.15
1,1,2,16.967,17.0695,17.172,0.205,1051.8,302.6
1,1,1,17.21,17.3415,17.473,0.263,391.3,191.85
1,1,1,17.487,17.7435,18.0,0.513,470.05,139.7
1,1,1,18.0,18.2655,18.531,0.531,470.05,139.7
1,1,5,18.57225,18.672,18.77175,0.1995,990.05,846.5
1,1,5,18.78525,19.1155,19.44575,0.6605,934.25,790.1
1,1,5,19.4715,19.5265,19.5815,0.11,1062.45,702.95
1,1,5,19.595,19.627,19.659,0.064,1026.0,760.85
1,1,2,19.694,19.8105,19.927,0.233,962.15,277.35
1,1,5,19.96225,19.98112,20.0,0.03775,1030.25,803.3
1,1,5,20.0,20.09388,20.18775,0.18775,1030.25,803.3
1,1,4,20.22875,20.3525,20.47625,0.2475,331.6,930.3
1,1,4,20.48975,20.5275,20.56525,0.0755,406.4,943.55
1,1,5,20.6025,20.691,20.7795,0.177,1025.95,859.9
1,1,1,21.06575,21.1305,21.19525,0.1295,415.1,147.9
1,1,5,21.23475,21.53,21.82525,0.5905,939.85,799.7
1,1,2,21.87675,21.93838,22.0,0.12325,1030.9,333.5
1,1,2,22.0,22.39663,22.79325,0.79325,1030.9,333.5
1,1,5,23.0295,23.2005,23.3715,0.342,936.6,867.7
1,1,6,23.4095,23.70475,24.0,0.5905,1617.95,957.75
1,1,6,24.0,24.03425,24.0685,0.0685,1617.95,957.75
1,1,3,24.12925,24.181,24.23275,0.1035,1657.95,235.6
1,1,3,24.24625,24.3885,24.53075,0.2845,1593.7,207.7
1,1,6,24.583,24.871,25.159,0.576,1612.3,952.4
1,1,4,25.21225,25.357,25.50175,0.2895,400.75,976.9
1,1,4,25.5145,25.75725,26.0,0.4855,331.35,995.8
1,1,4,26.0,26.15275,26.3055,0.3055,331.35,995.8
1,1,5,26.352,26.497,26.642,0.29,921.3,856.8
1,1,2,26.691,26.778,26.865,0.174,1036.7,242.95
1,1,2,26.8795,26.972,27.0645,0.185,1065.65,152.5
1,1,1,27.10925,27.192,27.27475,0.1655,351.1,144.3
1,1,3,27.33375,27.4725,27.61125,0.2775,1544.15,152.5
1,1,2,27.65025,27.82512,28.0,0.34975,1060.2,167.4
1,1,2,28.0,28.00988,28.01975,0.01975,1060.2,167.4
1,1,2,28.042,28.1015,28.161,0.119,992.15,374.75
1,1,2,28.17575,28.3605,28.54525,0.3695,1050.8,293.7
1,1,5,28.58525,28.657,28.72875,0.1435,955.45,888.4
1,1,5,28.74375,28.981,29.21825,0.4745,893.75,807.5
1,1,2,29.28325,29.343,29.40275,0.1195,1004.9,243.7
1,1,5,29.4355,29.686,29.9365,0.501,890.8,777.7
1,1,2,29.96725,29.98362,30.0,0.03275,923.65207,371.73793
1,1,2,30.0,30.31687,30.63375,0.63375,923.65207,371.73793
1,1,2,30.6465,30.745,30.8435,0.197,1005.4,111.7
1,1,6,30.893,31.245,31.597,0.704,1449.89145,761.73705
1,1,2,31.61375,31.80687,32.0,0.38625,1063.3,261.05
1,1,2,32.0,32.29863,32.59725,0.59725,1063.3,261.05
1,1,2,32.60775,32.6855,32.76325,0.1555,1030.9,327.05
1,1,5,32.7955,33.3305,33.8655,1.07,902.95,807.5
1,1,2,33.90825,33.95413,34.0,0.09175,1054.75,329.7
1,1,2,34.0,34.28888,34.57775,0.57775,1054.75,329.7
1,1,5,34.6165,34.7345,34.8525,0.236,979.65,805.8
1,1,2,34.897,35.008,35.119,0.222,950.4,257.2
1,1,2,35.13275,35.368,35.60325,0.4705,1012.25,302.9
1,1,5,35.63425,35.81713,36.0,0.36575,883.7,787.1
1,1,5,36.0,36.13488,36.26975,0.26975,883.7,787.1
1,1,4,36.30975,36.3935,36.47725,0.1675,332.3,990.2
1,1,1,36.5305,36.7375,36.9445,0.414,443.4,243.65
1,1,4,36.988,37.0765,37.165,0.177,359.8,942.4
1,1,4,37.1775,37.3395,37.5015,0.324,312.7,981.6
1,1,5,37.54425,37.609,37.67375,0.1295,853.2,852.0
1,1,4,37.72025,37.7565,37.79275,0.0725,306.35,933.9
1,1,2,37.85075,37.883,37.91525,0.0645,928.15,298.7
1,1,2,37.9305,37.96525,38.0,0.0695,1020.3,193.3
1,1,2,38.0,38.08975,38.1795,0.1795,1020.3,193.3
1,1,5,38.246,38.4655,38.685,0.439,887.55,791.9
1,1,2,38.73925,38.868,38.99675,0.2575,1109.0,267.55
1,1,4,39.11525,39.183,39.25075,0.1355,265.9,1023.1
1,1,4,39.26425,39.312,39.35975,0.0955,320.9,991.0
1,1,5,39.397,39.6985,40.0,0.603,872.25,802.4
1,1,5,40.0,40.164,40.328,0.328,872.25,802.4
1,1,4,40.36175,40.639,40.91625,0.5545,333.8,1003.4
1,1,2,40.97375,41.289,41.60425,0.6305,1016.3,313.5
1,1,6,41.7585,41.845,41.9315,0.173,1577.0,891.1
1,1,5,41.967,41.9835,42.0,0.033,997.85,819.3
1,1,5,42.0,42.0645,42.129,0.129,997.85,819.3
1,1,5,42.14225,42.3555,42.56875,0.4265,932.0,841.95
1,1,5,42.581,42.685,42.789,0.208,871.85,837.2
1,1,4,42.8195,42.9545,43.0895,0.27,406.0,981.3
1,1,5,43.124,43.32,43.516,0.392,898.8,836.85
1,1,2,43.55425,43.77712,44.0,0.44575,1009.5,370.15
1,1,2,44.0,44.09238,44.18475,0.18475,1009.5,370.15
1,1,6,44.433,45.2165,46.0,1.567,1595.2,997.0
1,1,6,46.0,46.0985,46.197,0.197,1595.2,997.0
1,1,4,46.25425,46.3945,46.53475,0.2805,425.5,957.4
1,1,5,46.56675,46.7055,46.84425,0.2775,951.3,868.35
1,1,5,46.859,46.979,47.099,0.24,918.75,796.1
1,1,2,47.14275,47.3055,47.46825,0.3255,1080.6,299.5
1,1,2,47.4815,47.571,47.6605,0.179,1089.5,202.95
1,1,6,47.708,47.851,47.994,0.286,1590.6,1010.0
1,1,4,48.04775,48.1585,48.26925,0.2215,386.75,1004.0
1,1,2,48.3355,48.4475,48.5595,0.224,1099.8,189.3
1,1,2,48.57475,48.853,49.13125,0.5565,1059.35,327.35
1,1,5,49.25875,49.4695,49.68025,0.4215,899.7,861.2
1,1,5,49.694,49.847,50.0,0.306,876.9,788.3
1,1,5,50.0,50.259,50.518,0.518,876.9,788.3
1,1,2,50.55025,50.706,50.86175,0.3115,1049.85,304.8
1,1,5,50.9055,50.958,51.0105,0.105,851.0,727.75
1,1,4,51.04925,51.122,51.19475,0.1455,292.3,979.45
1,1,4,51.20775,51.60388,52.0,0.79225,348.2,986.5
1,1,4,52.0,52.01112,52.02225,0.02225,348.2,986.5
